goal name#class#status,last runtime sec,orig runtime sec,engine,depth
_OBSERVED_RMA_BENEFITS,1,NaN,NaN,NaN
_RMA_CONVERGED_NUM_GOALS,34,NaN,NaN,NaN
_RMA_TOTAL_NUM_GOALS,34,NaN,NaN,NaN
traffic.chk.assert_green_no_waiting_first#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_green_no_waiting_first#vacuity#non_vacuous,0,NaN,rq1,2
traffic.chk.assert_green_no_waiting_main#assertion/cover#vacuous,0,NaN,rq1,-1
traffic.chk.assert_green_no_waiting_main#vacuity#vacuous,0,NaN,rq1,-1
traffic.chk.assert_gyr_oh_first#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_gyr_oh_main#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_hazard_in_first#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_hazard_in_first#vacuity#non_vacuous,0,NaN,rq1,4
traffic.chk.assert_hazard_in_main#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_hazard_in_main#vacuity#non_vacuous,0,NaN,rq1,2
traffic.chk.assert_honor_waiting_first#assertion/cover#falsified,0,NaN,rq1,5
traffic.chk.assert_honor_waiting_first#vacuity#non_vacuous,0,NaN,rq1,7
traffic.chk.assert_honor_waiting_main#assertion/cover#falsified,0,NaN,rq1,7
traffic.chk.assert_honor_waiting_main#vacuity#non_vacuous,0,NaN,rq1,3
traffic.chk.assert_no_both_green#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_no_both_yellow#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_signal_sequencing_on_first#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_signal_sequencing_on_first#vacuity#non_vacuous,0,NaN,rq1,7
traffic.chk.assert_signal_sequencing_on_main#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_signal_sequencing_on_main#vacuity#non_vacuous,0,NaN,rq1,3
traffic.chk.assert_state_oh_first#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assert_state_oh_main#assertion/cover#proven,0,NaN,rq1,-1
traffic.chk.assume_continuous_waiting_first#vacuity#non_vacuous,0,NaN,rq1,1
traffic.chk.assume_continuous_waiting_main#vacuity#non_vacuous,0,NaN,rq1,3
traffic.chk.cov_both_red#assertion/cover#covered,0,NaN,rq1,1
traffic.chk.cov_green_first_for_one_cycle#assertion/cover#covered,0,NaN,rq1,6
traffic.chk.cov_green_main_for_one_cycle#assertion/cover#covered,0,NaN,rq1,3
traffic.chk.cov_green_with_waiting_on_first#assertion/cover#covered,0,NaN,rq1,4
traffic.chk.cov_green_with_waiting_on_main#assertion/cover#covered,0,NaN,rq1,2
traffic.chk.cov_green_without_waiting_on_first#assertion/cover#uncoverable,0,NaN,rq1,-1
traffic.chk.cov_green_without_waiting_on_main#assertion/cover#covered,0,NaN,rq1,2
traffic.chk.cov_waiting_on_both_streets_for_max_wait#assertion/cover#covered,0,NaN,rq1,4
traffic.first.oh_state_out#assertion/cover#proven,0,NaN,rq1,-1
traffic.main.oh_state_out#assertion/cover#proven,0,NaN,rq1,-1
